date,1. open,2. high,3. low,4. close,5. volume
2025-02-19,482.82,484.72,480.68,483.77,2436465.0
2025-02-20,484.125,484.2,478.14,481.8,2650957.0
2025-02-21,480.95,483.64,477.74,478.74,4085076.0
2025-02-24,483.5,503.9599,483.24,498.42,9862446.0
2025-02-25,503.15,507.0,491.9,499.82,6757512.0
2025-02-26,499.115,499.9,493.05,494.1,3543491.0
2025-02-27,496.45,504.95,495.61,502.41,4507714.0
2025-02-28,507.46,515.37,504.3333,513.83,6850339.0
2025-03-03,516.22,518.77,506.48,510.08,5112297.0
2025-03-04,507.27,508.73,493.6091,495.86,6126619.0
2025-03-05,496.0,500.93,492.32,498.5,4715777.0
2025-03-06,496.835,499.1,491.6314,497.84,3989662.0
2025-03-07,496.29,498.27,490.11,495.62,3842150.0
2025-03-10,490.0,500.45,490.0,497.1,6241680.0
2025-03-11,496.0,499.15,491.3101,496.25,5358269.0
2025-03-12,497.6,498.3233,488.75,495.94,3871096.0
2025-03-13,496.46,507.398,494.75,504.25,5104202.0
2025-03-14,506.95,515.84,502.92,514.6,5775588.0
2025-03-17,514.62,524.71,513.21,523.01,5343389.0
2025-03-18,525.45,528.38,521.42,523.14,4857806.0
2025-03-19,525.69,526.71,520.655,525.27,3797997.0
2025-03-20,524.0,530.6091,522.67,528.73,4065426.0
2025-03-21,528.31,528.96,520.73,521.91,8546279.0
2025-03-24,523.1,527.3,521.48,525.85,4858877.0
2025-03-25,527.185,533.29,525.8804,528.87,3964761.0
2025-03-26,531.0,537.63,530.98,533.21,5010845.0
2025-03-27,533.25,537.38,529.3537,534.52,5154608.0
2025-03-28,535.35,536.0,524.6791,526.31,5321395.0
2025-03-31,521.4,536.52,519.0,532.58,7139333.0
2025-04-01,531.88,536.41,527.5001,532.99,4130570.0
2025-04-02,532.13,539.0,530.82,537.72,4079044.0
2025-04-03,527.62,538.8,525.14,530.16,6410854.0
2025-04-04,519.0,521.0,492.98,493.54,12605032.0
2025-04-07,467.415,505.8451,462.1,490.38,12749745.0
2025-04-08,509.025,516.0,484.19,492.64,9470118.0
2025-04-09,490.0,523.93,485.5596,521.41,10153675.0
2025-04-10,518.3,521.41,498.6088,515.81,7475863.0
2025-04-11,515.0,526.58,510.77,524.11,6231015.0
2025-04-14,531.0,536.52,526.98,529.52,5512121.0
2025-04-15,532.62,535.92,527.36,528.17,4329208.0
2025-04-16,529.3,530.13,512.89,516.45,5889277.0
2025-04-17,518.895,523.88,514.5701,518.21,5322242.0
2025-04-21,517.53,518.67,498.08,506.92,4908377.0
2025-04-22,514.23,522.22,511.65,520.79,4768491.0
2025-04-23,527.5,532.27,523.885,526.81,4294462.0
2025-04-24,526.81,533.13,523.16,531.64,3173404.0
2025-04-25,531.75,532.4399,526.79,530.96,2742786.0
2025-04-28,533.63,536.82,526.58,530.94,4238653.0
2025-04-29,531.0,535.34,528.29,534.57,3177729.0
2025-04-30,531.51,535.72,524.0032,533.25,5251647.0
2025-05-01,531.0,533.265,528.3,530.23,4693069.0
2025-05-02,536.75,542.07,535.2581,539.8,4945569.0
2025-05-05,520.08,521.18,502.8001,512.15,16380216.0
2025-05-06,509.57,515.75,507.99,512.33,6088592.0
2025-05-07,515.015,520.25,513.0,518.22,5581423.0
2025-05-08,520.98,521.2591,513.0401,513.25,5018581.0
2025-05-09,514.25,515.91,510.2533,513.74,3621402.0
2025-05-12,520.3,520.3,510.25,514.3,6368046.0
2025-05-13,515.64,515.75,511.8,511.88,4504120.0
2025-05-14,511.85,511.85,502.8,503.4,6384053.0
2025-05-15,502.375,509.78,501.62,507.33,5040862.0
2025-05-16,509.63,514.33,506.8,514.31,4997321.0
2025-05-19,513.615,513.79,510.1,512.39,3441451.0
2025-05-20,511.11,512.075,506.5514,508.74,3736959.0
2025-05-21,507.41,509.9999,505.4,507.03,3815801.0
